(-0.04266, 0.69697, 1.81880)
(-0.04201, 0.69490, 1.82016)
(-0.04277, 0.69617, 1.81834)
(-0.04223, 0.69546, 1.81972)
(-0.04257, 0.69739, 1.82027)
(-0.04257, 0.69739, 1.82027)
(-0.04272, 0.69770, 1.81798)
(-0.04342, 0.69718, 1.81742)
(-0.04322, 0.69703, 1.81680)
(-0.04320, 0.69587, 1.81558)
(-0.04246, 0.69477, 1.81724)
(-0.04157, 0.69618, 1.81732)
(-0.03985, 0.69504, 1.81562)
(-0.03880, 0.69488, 1.81583)
(-0.03879, 0.69488, 1.81583)
(-0.02999, 0.69722, 1.81540)
(-0.02457, 0.69440, 1.81594)
(-0.02080, 0.69348, 1.81576)
(-0.00720, 0.69453, 1.81865)
(0.00330, 0.69655, 1.82055)
(0.00331, 0.69655, 1.82055)
(0.02137, 0.70086, 1.82661)
(0.03586, 0.69878, 1.82564)
(0.04944, 0.69792, 1.82634)
(0.06040, 0.69308, 1.82627)
(0.06966, 0.69026, 1.82828)
(0.08219, 0.68446, 1.82935)
(0.09250, 0.68552, 1.83054)
(0.10414, 0.68403, 1.83620)
(0.11270, 0.67923, 1.83617)
(0.11937, 0.67503, 1.84278)
(0.12591, 0.67437, 1.84795)
(0.13763, 0.67344, 1.85057)
(0.14491, 0.67163, 1.85626)
(0.15298, 0.66755, 1.85741)
(0.15594, 0.66508, 1.85967)
(0.16106, 0.66048, 1.85833)
(0.16506, 0.66107, 1.85932)
(0.16458, 0.65926, 1.85856)
(0.17156, 0.66022, 1.86301)
(0.17203, 0.65990, 1.86278)
(0.17600, 0.66190, 1.86755)
(0.17640, 0.66095, 1.86905)
(0.17802, 0.66401, 1.86698)
(0.17657, 0.66214, 1.87274)
(0.17822, 0.66095, 1.87016)
(0.18331, 0.66431, 1.87171)
(0.18325, 0.66424, 1.87206)
(0.17983, 0.66230, 1.87030)
(0.18094, 0.66447, 1.86818)
(0.18034, 0.66628, 1.86970)
(0.17694, 0.66670, 1.86928)
(0.17741, 0.66659, 1.87086)
(0.17514, 0.66662, 1.87011)
(0.17459, 0.66529, 1.86644)
(0.17481, 0.66439, 1.86614)
(0.17475, 0.66619, 1.86722)
(0.17475, 0.66619, 1.86722)
(0.17244, 0.66617, 1.86862)
(0.17318, 0.66747, 1.86791)
(0.17417, 0.66695, 1.86610)
(0.17478, 0.67012, 1.86978)
(0.17415, 0.66876, 1.86853)
(0.17378, 0.66759, 1.86945)
(0.17323, 0.66735, 1.86904)
(0.17375, 0.66615, 1.86881)
(0.17582, 0.66607, 1.86715)
(0.17296, 0.66740, 1.86645)
(0.17332, 0.66725, 1.86753)
(0.17331, 0.66725, 1.86752)
(0.17331, 0.66725, 1.86752)
(0.17331, 0.67019, 1.86549)
(0.17331, 0.67019, 1.86549)
(0.17331, 0.67019, 1.86549)
(0.17331, 0.67019, 1.86549)
(0.17331, 0.67019, 1.86549)
(0.17331, 0.67019, 1.86549)
(0.17183, 0.66683, 1.86311)
(0.17184, 0.66683, 1.86311)
(0.17241, 0.66716, 1.86211)
(0.17244, 0.66715, 1.86215)
(0.17245, 0.66714, 1.86215)
(0.17193, 0.66972, 1.86494)
(0.17175, 0.66962, 1.86480)
(0.17175, 0.66962, 1.86480)
(0.16688, 0.66527, 1.86050)
(0.16772, 0.66567, 1.85919)
(0.16771, 0.66568, 1.85920)
(0.15933, 0.66861, 1.85801)
(0.15222, 0.67449, 1.85877)
(0.14537, 0.67871, 1.86080)
(0.13814, 0.68027, 1.85527)
(0.12748, 0.68242, 1.85244)
(0.12117, 0.68166, 1.84838)
(0.11579, 0.68427, 1.84396)
(0.11549, 0.68423, 1.84385)
(0.09685, 0.69316, 1.84573)
(0.08348, 0.69530, 1.84155)
(0.07194, 0.70165, 1.84065)
(0.05907, 0.70492, 1.83937)
(0.05155, 0.70688, 1.83813)
(0.04389, 0.70292, 1.83375)
(0.02839, 0.70622, 1.83575)
(0.01651, 0.70963, 1.83282)
(0.00931, 0.70404, 1.82820)
