(-0.41049, 0.16776, 1.84742)
(-0.41049, 0.16776, 1.84742)
(-0.41049, 0.16776, 1.84742)
(-0.41051, 0.16758, 1.84745)
(-0.41083, 0.17104, 1.85018)
(-0.41083, 0.17105, 1.85018)
(-0.40982, 0.17174, 1.85160)
(-0.41196, 0.16985, 1.84879)
(-0.41200, 0.16859, 1.84842)
(-0.41156, 0.16849, 1.84866)
(-0.41189, 0.17142, 1.85096)
(-0.41152, 0.17062, 1.85067)
(-0.41165, 0.17062, 1.85067)
(-0.41214, 0.16952, 1.84964)
(-0.41495, 0.17473, 1.85656)
(-0.41338, 0.17384, 1.85376)
(-0.41574, 0.17482, 1.85631)
(-0.41403, 0.17465, 1.85526)
(-0.41407, 0.17485, 1.85560)
(-0.41408, 0.17495, 1.85572)
(-0.41679, 0.17761, 1.86190)
(-0.41613, 0.18362, 1.86522)
(-0.41632, 0.18522, 1.86814)
(-0.41818, 0.19085, 1.87783)
(-0.41742, 0.19645, 1.88190)
(-0.41780, 0.19967, 1.88609)
(-0.42201, 0.20626, 1.89772)
(-0.42540, 0.21127, 1.90290)
(-0.42724, 0.21513, 1.91200)
(-0.43001, 0.22000, 1.92475)
(-0.43508, 0.22458, 1.94152)
(-0.43851, 0.23022, 1.95611)
(-0.43771, 0.23714, 1.96619)
(-0.43960, 0.24650, 1.98391)
(-0.44554, 0.25116, 2.00301)
(-0.45083, 0.25589, 2.02238)
(-0.45585, 0.26009, 2.04162)
(-0.45874, 0.26777, 2.06364)
(-0.46549, 0.27089, 2.08055)
(-0.47087, 0.27884, 2.10491)
(-0.47205, 0.28024, 2.12490)
(-0.47582, 0.28139, 2.14423)
(-0.48021, 0.28842, 2.16430)
(-0.48369, 0.29065, 2.18190)
(-0.48879, 0.29055, 2.19811)
(-0.49268, 0.29024, 2.21483)
(-0.49498, 0.28871, 2.22410)
(-0.50166, 0.28404, 2.23795)
(-0.50141, 0.28355, 2.25023)
(-0.50962, 0.28221, 2.26157)
(-0.50712, 0.27924, 2.26399)
(-0.51034, 0.28027, 2.27638)
(-0.51153, 0.27947, 2.28031)
(-0.51385, 0.27964, 2.28925)
(-0.51684, 0.27881, 2.29568)
(-0.51713, 0.27727, 2.30102)
(-0.51900, 0.27765, 2.31024)
(-0.52095, 0.27670, 2.30876)
(-0.52088, 0.27668, 2.30875)
(-0.52088, 0.27668, 2.30875)
(-0.51882, 0.27778, 2.31448)
(-0.52024, 0.27768, 2.31370)
(-0.52302, 0.27771, 2.31510)
(-0.52307, 0.27771, 2.31585)
(-0.52307, 0.27771, 2.31585)
(-0.52076, 0.27927, 2.31655)
(-0.51869, 0.27796, 2.31435)
(-0.52044, 0.27757, 2.32216)
(-0.52043, 0.27758, 2.32213)
(-0.52036, 0.27769, 2.32179)
(-0.52036, 0.27769, 2.32179)
(-0.52036, 0.27770, 2.32177)
(-0.51812, 0.27715, 2.31330)
(-0.52063, 0.27812, 2.31460)
(-0.52064, 0.27812, 2.31459)
(-0.52063, 0.27812, 2.31459)
(-0.52063, 0.27812, 2.31459)
(-0.51624, 0.28091, 2.31287)
(-0.51783, 0.27975, 2.31291)
(-0.51650, 0.27744, 2.31074)
(-0.51616, 0.27752, 2.31079)
(-0.51038, 0.28075, 2.31065)
(-0.51037, 0.28075, 2.31065)
(-0.49986, 0.28026, 2.31206)
(-0.49430, 0.27923, 2.31238)
(-0.48603, 0.28189, 2.31787)
(-0.48423, 0.28215, 2.31745)
(-0.47253, 0.28230, 2.31576)
(-0.46739, 0.27723, 2.31724)
(-0.46207, 0.28474, 2.31955)
(-0.45315, 0.27935, 2.31567)
(-0.45063, 0.27925, 2.31373)
(-0.43694, 0.27942, 2.30728)
(-0.42934, 0.27788, 2.30750)
(-0.42455, 0.28309, 2.30948)
(-0.41836, 0.28611, 2.30860)
(-0.41486, 0.28559, 2.30789)
(-0.41335, 0.28665, 2.31175)
(-0.41556, 0.28021, 2.31326)
(-0.41444, 0.28147, 2.30970)
(-0.41409, 0.28044, 2.30807)
(-0.41315, 0.28042, 2.30797)
(-0.41314, 0.28042, 2.30798)
